Ranking,Freq.,Characters,Syllable,Words(Explanation) / Remarks
1198,1366,耕,gang1,「耕gaang1」的異讀字，口語讀音
1199,1362,坦,taan2,"平坦, 坦承, 坦克, 坦然, 坦誠, 坦白, 坦率, 坦蕩"
1200,1361,榮,wing4,"榮譽, 榮獲, 榮華, 榮耀, 榮幸, 榮華富貴, 光榮"
1201,1359,灣,waan1,"河灣, 海灣, 港灣"
1201,1359,灣,waan4,「灣waan1」的異讀字
1202,1359,閉,bai3,"閉會, 閉塞, 閉幕, 閉關, 關閉"
1203,1357,鍵,gin6,"鍵盤, 關鍵"
1204,1353,剝,bok1,「剝mok1」的異讀字
1204,1353,剝,mok1,"剝削, 剝落, 剝奪, 剝蝕, 剝離, 剝絲抽繭"
1205,1351,凡,faan4,"凡是, 凡人, 凡間, 平凡, 凡夫俗子"
1206,1350,並,bing3,「並bing6」的異讀字
1206,1350,並,bing6,"並且, 並世無兩, 並行不悖, 並肩作戰, 並駕齊驅, 並列, 圖文並茂"
1207,1349,駐,zyu3,"駐守, 駐軍, 駐足, 駐紮, 進駐"
1208,1346,救,gau3,"救濟, 救援, 救助, 救災, 救護, 救急, 救活, 救贖, 救星, 救國救民, 拯救"
1209,1346,鍋,wo1,"鍋爐, 鍋蓋, 鐵鍋, 鍋巴"
1210,1342,恩,jan1,"恩怨, 恩愛, 恩仇, 恩典, 恩澤, 恩惠, 恩寵, 恩將仇報, 恩怨分明, 恩斷義絕, 刻薄寡恩, 報恩"
1211,1339,凝,jing4,"凝視, 冷凝, 凝神靜聽, 混凝土, 凝結, 凝重, 凝脂, 凝滯, 凝聚"
1211,1339,凝,king4,「凝jing4」的異讀字
1212,1337,堿,haam4,堿坷
1212,1337,堿,gaan2,含氫氧根的化合物的統稱
1212,1337,堿,ham3,「堿haam4」的異讀字
1213,1336,齒,ci2,"齒輪, 牙齒, 齒冷, 齒列, 齒遇, 齒班, 齧齒科, 鋸齒, 何足掛齒, 馬齒徒增"
1214,1333,截,zit6,"截斷, 截獲, 截長補短, 直截了當"
1215,1328,跡,zek3,「跡zik1」的異讀字
1215,1328,跡,zik1,"跡近, 跡捕, 跡象, 跡跡, 古跡, 足跡, 遺跡"
1216,1328,麻,maa4,"麻醉, 麻煩, 麻痺, 麻布, 麻木不仁"
1217,1327,禁,gam1,弱不禁風
1217,1327,禁,gam3,"禁忌, 監禁, 入境問禁, 禁止, 禁內, 禁令, 禁地, 禁軍, 禁苑, 禁書, 禁區, 禁錮, 禁臠"
1217,1327,禁,kam1,「禁gam1」的異讀字
1218,1327,紡,fong2,"紡織, 紡車, 紡紗, 紡錘"
1219,1324,廢,fai3,"廢除, 廢棄, 廢料, 廢氣, 廢紙, 廢墟, 廢寢忘食"
1220,1318,版,baan2,"版本, 版權, 版畫, 版面, 版圖, 出版"
1221,1315,緩,wun4,「緩wun6」的異讀字
1221,1315,緩,wun6,"緩和, 緩刑, 緩不濟急, 緩帶, 緩禍, 緩慢, 緩衝, 緩頰, 緩兵之計, 緩步代車, 緩歌縵舞"
1222,1313,淨,zeng6,「淨zeng6」的異讀字，用於「乾淨」一詞
1222,1313,淨,zing6,"淨土, 淨化, 淨重, 乾淨"
1223,1307,睛,zing1,"眼睛, 目不轉睛, 金睛火眼, 畫龍點睛"
1224,1306,昌,coeng1,"昌明, 昌盛, 昌隆, 五世其昌"
1225,1305,婚,fan1,"婚姻, 結婚, 婚喪喜慶, 婚禮, 談婚論嫁, 婚約"
1226,1301,涉,sip3,"涉獵, 涉嫌, 涉足, 跋涉, 涉險, 涉及, 交涉, 干涉, 牽涉, 隔涉"
1227,1301,筒,tung2,「筒tung4」的異讀字
1227,1301,筒,tung4,"竹筒, 郵筒, 電筒, 花筒, 話筒"
1228,1294,插,caap3,"插花, 插入, 插上, 插曲, 插足, 插枝, 插畫, 插圖, 插嘴, 插班"
1229,1289,岸,ngon6,"岸邊, 岸上, 岸頭"
1230,1289,朗,long5,"朗讀, 朗誦, 明朗"
1231,1281,莊,zong1,"莊重, 莊稼, 莊嚴, 莊敬自強, 莊園, 茶莊, 康莊大道"
1232,1280,街,gaai1,"街道, 街坊, 街頭巷尾, 街市, 街談巷議, 逛街"
1233,1276,姑,gu1,"姑娘, 姑且, 姑媽, 姑息"
1234,1273,貿,mau6,"貿易, 貿然"
1235,1270,奴,nou4,"奴隸, 農奴, 奴顏婢膝, 奴才, 奴僕, 奴工, 奴役, 奴家, 黑奴"
1236,1270,煉,lin6,"煉油, 煉製, 煉獄"
1237,1270,腐,fu6,"腐爛, 腐敗, 腐蝕, 腐朽, 腐化, 腐壞"
1238,1269,啦,laa1,啦啦隊
1239,1267,慣,gwaan3,"慣例, 習慣, 嬌生慣養, 慣性, 慣常, 慣壞"
1240,1265,乘,sing4,"乘車, 乘坐, 乘除, 乘涼, 乘桴, 乘機, 乘人之危, 乘風破浪, 乘虛而入, 搭乘"
1240,1265,乘,sing6,"上乘, 史乘, 大乘, 小乘, 萬乘之國"
1241,1262,恢,fui1,"恢復, 恢宏, 恢復過來"
1242,1261,勻,wan4,"勻稱, 勻淨, 均勻"
1243,1254,梁,loeng4,"梁柱, 鼻梁, 懸梁刺股, 梁上君子, 橋梁, 棟梁"
1244,1252,紗,saa1,"紗布, 紡紗, 浣紗, 紗窗, 紗廠, 紗門, 紗錠, 紗線, 紗帽"
1245,1242,辯,bin6,"辯論, 爭辯, 百辭莫辯, 辯護, 辯解, 辯駁, 辯白, 詭辯, 狡辯, 辯證法, 辯才無礙, 能言善辯"
1246,1240,耳,ji5,"耳朵, 耳目一新, 耳熟能詳, 耳環, 耳濡目染, 耳提面命"
1247,1237,彪,biu1,"彪炳, 彪蒙(啟迪心智，使見紋理), 彪子(粗野、不成熟的人), 彪形大漢(1)老虎身上的斑紋 (2)文采顯現 "
1248,1236,抵,dai2,"抵達, 抵制, 抵抗, 抵押, 抵住, 抵擋, 抵消, 抵觸, 抵禦"
1248,1236,抵,zi2,擊
1249,1236,臣,san4,"臣服, 君臣, 俯首稱臣, 臣民, 功臣, 奸臣, 弄臣, 忠臣義士, 孤臣孽子, 亂臣賊子(1)俘虜、奴隸 (2)君主的下屬 (3)古人對君主的自稱 "
1250,1234,億,jik1,"億萬, 億兆"
1251,1234,脈,maak6,「脈mak6」的異讀字
1251,1234,脈,mak6,"脈動, 脈絡, 脈波, 脈搏, 脈衝, 脈脈"
1252,1230,璃,lei4,"玻璃, 琉璃, 萬頃琉璃"
1253,1229,秀,sau3,"秀麗, 秀朗, 秀林, 秀美, 秀姑巒溪, 秀才, 秀水, 秀峰, 秀逸, 秀髮, 秀氣, 秀外慧中, 秀色可餐, 秀雅"
1254,1228,薩,saat3,"菩薩, 薩滿教"
1255,1227,俄,ngo4,"俄而, 俄頃, 俄延, 俄羅斯頃刻"
1256,1225,網,mong5,"魚網, 網絡, 天羅地網, 網路, 網狀, 視網膜, 網球, 自投羅網, 網開一面"
1257,1225,舞,mou5,"舞蹈, 歌舞, 舞文弄墨, 舞弊, 舞獅, 舞劍"
1258,1223,店,dim3,"店舖, 商店, 店小二, 店面, 店主, 店員, 店家, 店東, 店長, 飯店, 名店"
1259,1222,噴,fan5,「噴pan3」的異讀字
1259,1222,噴,pan1,「噴pan3」的異讀字
1259,1222,噴,pan3,"噴泉, 噴雲吐霧, 噴薄欲出, 含血噴人"
1260,1222,縱,zung1,"縱深, 縱貫, 縱橫, 縱軸, 縱橫捭闔, 縱橫馳騁, 合縱"
1260,1222,縱,zung2,縱臾
1260,1222,縱,zung3,"縱令, 縱言, 縱步, 縱使, 縱波, 縱酒, 縱容, 縱覽, 放縱"
1261,1221,寸,cyun3,"尺寸, 寸陰, 寸步, 寸鐵, 寸斷"
1262,1221,童,tung4,"童年, 童話, 童稚, 童心, 童心未泯, 童叟無欺, 學童"
1263,1220,汗,hon4,"可汗, 汗國, 成吉思汗"
1263,1220,汗,hon6,"汗水, 汗青, 汗漫, 汗顏, 汗牛充棟, 汗流浹背, 汗馬功勞, 血汗"
1264,1217,洪,hung4,"洪水, 山洪"
1265,1213,賀,ho3,「賀ho6」的異讀字
1265,1213,賀,ho6,"賀儀, 慶賀, 賀客盈門, 賀卡, 賀禮, 賀歲, 賀電, 賀客, 賀詞, 賀年, 賀函, 賀帖, 恭賀, 祝賀"
1266,1213,閃,sim2,"閃避, 閃爍, 閃光, 閃電, 閃亮, 閃耀"
1267,1212,掛,gwaa3,"掛心, 懸掛, 牽腸掛肚, 掛念, 掛慮, 掛失, 掛名, 掛單, 掛一漏萬"
1267,1212,掛,kwaa3,「掛gwaa3」的異讀字
1268,1211,柬,gaan2,"柬帖, 請柬"
1269,1210,爆,baau3,"爆炸, 引爆, 爆竹, 爆發, 爆裂, 爆滿, 爆破, 爆出, 爆冷門, 爆笑, 爆米花"
1269,1210,爆,paau3,「爆baau3」的異讀字
1269,1210,爆,bok3,「爆baau3」的異讀字
1270,1207,烯,hei1,一種有機化合物
1271,1203,勒,laak6,「勒lak6」的異讀字
1271,1203,勒,lak6,"勒令, 勒石, 勒索, 勒碑, 懸崖勒馬"
1272,1202,津,zeon1,"津貼, 迷津, 津津樂道, 津梁, 津津有味, 生津解渴, 無人問津"
1273,1202,軋,aat3,「軋zaat3」的異讀字
1273,1202,軋,gaat3,「軋zaat3」的異讀字
1273,1202,軋,ngaat3,「軋zaat3」的異讀字
1273,1202,軋,zaat3,傾軋
1274,1200,稻,dou6,"稻田, 稻米, 稻草, 早稻"
1275,1199,軟,jyun5,"軟弱, 軟語, 軟化, 軟禁, 軟硬兼施"
1276,1197,勇,jung5,"勇氣, 勇敢, 勇士, 勇往直前, 勇猛, 急流勇退, 有勇無謀"
1277,1194,像,zoeng6,"像樣, 肖像, 畫像, 塑像"
1278,1194,杆,gon1,"旗杆, 欄杆"
1279,1193,厘,lei4,厘米
1280,1193,滾,gwan2,"滾筒, 滾落, 滾動, 滾滾而來, 翻滾"
1281,1193,蒙,mung4,"蒙羞, 蒙蔽, 蒙混, 蒙騙, 蒙塵, 蒙昧無知"
1282,1192,芳,fong1,"芳草, 芬芳, 流芳百世, 芳苑, 芳鄰, 芳名, 芳香, 芳心, 芳齡, 芳訊, 芳華, 芳蹤, 芳魂, 芳名錄"
1283,1191,肯,hang2,"肯定, 中肯"
1283,1191,肯,hoi2,肯綮
1284,1190,坡,bo1,"坡度, 山坡, 斜坡, 坡道, 陡坡"
1284,1190,坡,po1,「坡bo1」的異讀字
1285,1183,腿,teoi2,"腿力, 大腿, 盤腿"
1286,1181,儀,ji4,"儀表, 儀容, 儀式"
1287,1180,旅,leoi3,「旅leoi5」的異讀字
1287,1180,旅,leoi5,"旅遊, 旅行, 旅程"
1288,1177,尾,mei5,"尾隨, 尾巴, 尾聲, 尾數, 尾牙, 尾部, 尾音"
1289,1175,伙,fo2,"伙食, 合伙, 拆伙, 伙伴, 伙計"
1290,1172,蕩,dong6,"蕩婦, 放蕩, 蕩然無存, 蕩漾, 蕩船, 蕩寇, 遊蕩, 蕩氣回腸"
1291,1170,冰,bing1,"冰雹, 結冰, 冰釋前嫌, 冰棒, 冰窖, 冰涼, 溜冰, 冰淇淋, 電冰霜, 破冰船, 冷冰冰, 冰清玉潔, 冰天雪地, 冰河時期, 冰雪聰明, 冰封三尺"
1291,1170,冰,jing4,同「凝」字
1292,1168,貢,gung3,"貢獻, 貢寮, 貢品, 朝貢"
1293,1167,登,dang1,"登記, 登場, 登高, 登堂入室"
1294,1167,黎,lai4,"黎民, 黎庶, 黎黑, 黎明, 黎國, (1)眾多 (2)黑色的 (3)即將 (4)國名 (5)姓氏 "
1295,1164,鑽,zyun1,"鑽仰, 鑽研, 鑽營, 鑽木取火, 鑽冰求酥"
1295,1164,鑽,zyun3,"鑽石, 風鑽, 電鑽"
1296,1163,秘,bai3,「秘bei3」的異讀字
1296,1163,秘,bei3,同「祕」字
1297,1160,逃,tou4,"逃避, 在逃, 死裡逃生, 逃命, 逃犯, 逃脫, 逃學, 逃竄, 逃亡, 逃獄, 逃之夭夭, 落荒而逃, 畏罪潛逃, 暗箭難逃"
1298,1160,障,zoeng3,"障礙, 障蔽, 殘障, 保障"
1299,1156,氨,on1,氮和氫的化合物
1299,1156,氨,ngon1,「氨on1」的異讀字
1300,1152,湯,joeng4,湯谷
1300,1152,湯,soeng1,湯湯
1300,1152,湯,tong1,"湯池, 湯藥, 湯鑊, 米湯, 肉湯, 熱湯, 赴湯蹈火"
1300,1152,湯,tong3,同「燙」字
1301,1151,郭,gwok3,"城郭, 東郭"
1302,1149,亡,mong1,亡果(即芒果)
1302,1149,亡,mong4,"亡靈, 滅亡, 亡羊補牢, 亡命, 亡國之音, 死亡"
1302,1149,亡,mou4,同「無」字
1303,1148,峰,fung1,"峰迴路轉, 峰巒, 巔峰, 頂峰"
1304,1147,幣,bai6,"幣值, 硬幣, 輔幣, 貨幣"
1305,1147,港,gong2,"港口, 海港, 港務, 港埠, 港灣"
1306,1146,伏,buk6,「伏fuk6」的異讀字
1306,1146,伏,fuk6,"伏刃, 伏法, 伏貼, 伏兔, 伏流, 伏案, 伏寇, 伏惟, 伏筆, 伏誅, 伏羲, 伏擊, 三伏, 埋伏, 制伏, 俯伏, 老驥伏櫪"
1307,1145,夢,mung4,夢雨
1307,1145,夢,mung6,"夢想, 夢話, 夢寐以求"
1308,1145,畝,mau5,"畝產, 田畝"
1309,1145,軌,gwai2,"軌道, 軌跡, 不軌"
1310,1144,畢,bat1,"畢業, 完畢, 鋒芒畢露, 畢命, 畢竟, 畢恭畢敬, 原形畢露"
1311,1143,擦,caat3,"擦傷, 擦拭, 摩擦"
1312,1143,莫,mok6,"莫非, 莫可名狀, 莫衷一是, 莫逆之交, 莫測高深, 約莫, 悲憤莫名, 莫邪"
1312,1143,莫,mou6,同「暮」字
1313,1142,刺,cek3,「刺cik3」的異讀字
1313,1142,刺,ci3,"刺目, 刺史, 刺字, 刺耳, 刺股, 刺客, 刺激, 刺繡, 芒刺在背"
1313,1142,刺,cik3,行刺
1313,1142,刺,sik3,「刺cik3」的異讀字
1314,1142,浪,long4,滄浪
1314,1142,浪,long6,"浪人, 浪子, 浪花, 浪笑, 浪費, 浪漫, 浪語, 浪潮, 浪蕩, 波浪, 放浪, 流浪"
1315,1141,援,wun4,"援手, 援引, 援用, 援助, 援例, 援筆立成, 支援, 聲援"
1315,1141,援,jyun4,「援wun4」的異讀字
1315,1141,援,jyun6,「援wun4」的異讀字
1316,1140,株,zyu1,"株連, 守株待兔"
1317,1139,健,gin6,"健康, 健全, 健將, 健壯, 健兒, 健談, 健忘, 剛健"
1318,1134,售,sau6,"售價, 零售, 售票處, 售賣, 出售, 售罄, 售貨員, 銷售稅"
1319,1133,股,gu2,"股票, 股價, 股權, 股份, 八股"
1320,1129,采,coi2,"神采, 風采"
1320,1129,采,coi3,采地
1321,1127,島,dou2,"島嶼, 孤島, 半島"
1322,1127,泡,paau1,"泡幻, 泡影"
1322,1127,泡,paau3,"泡茶, 泡飯, 浸泡"
1322,1127,泡,paau4,泡溲
1322,1127,泡,pou5,"水泡, 肥皂泡"
1323,1127,甘,gam1,"甘心, 甘願, 甘草, 甘苦, 甘霖, 甘露"
1324,1127,睡,seoi6,"睡覺, 睡眠, 睡衣, 睡袋, 睡意, 睡眼, 睡醒, 睡獅, 熟睡"
1325,1123,鑄,zyu3,"鑄造, 鑄鐵, 鑄成大錯"
1326,1117,休,jau1,"休閒, 休息, 休假, 休會, 休憩, 休克, 休養, 休止, 休想"
1326,1117,休,nau2,休屠(匈奴王號)
1326,1117,休,heoi2,「休jyu3」的異讀字
1326,1117,休,jyu3,同「煦」字
1327,1117,閥,fat6,"閥閱, 門閥, 官閥, 軍閥, 財閥"
1328,1112,牧,muk6,"牧場, 牧師, 牧草, 牧民, 牧羊"
1329,1110,繞,jiu2,「繞jiu5」的異讀字
1329,1110,繞,jiu5,"繞行, 繞圈, 繞嘴, 繞口令, 繞梁三日, 環繞"
1330,1108,哲,zit3,"哲學, 哲理, 哲人其萎, 哲嗣, 先哲"
1331,1108,炸,zaa3,"炸彈, 炸藥, 炸毀, 炸掉"
1332,1106,磷,leon4,"磷火, 磷磷, 白磷, 紅磷"
1332,1106,磷,leon6,磨薄
1332,1106,磷,ling4,砰磷
1333,1104,朋,pang4,"朋友, 朋黨, 朋比為奸, 朋輩, 良朋益友"
1334,1104,績,zek3,「績zik1」的異讀字
1334,1104,績,zik1,"績火, 績麻, 績線, 績學之士, 成績, 功績, 戰績, 業績"
1335,1103,淡,daam6,"淡漠, 暗淡, 冷淡, 淡季, 淡泊名利, 濃裝淡抹"
1335,1103,淡,taam4,同「痰」字
1335,1103,淡,taam5,「淡daam6」的異讀字，特別用於「鹹淡」及其衍生的詞語
1335,1103,淡,jim5,流水淡淡
1336,1101,啟,kai2,"啟用, 啟程, 啟發, 啟示, 啟動, 啟事, 啟航, 啟蒙, 啟開, 啟齒, 啟口, 啟封"
1337,1101,尖,zim1,"尖端, 尖刻, 尖利, 打尖, 尖銳"
1338,1101,陷,haam6,"陷入, 陷沒, 陷阱, 陷害, 陷溺, 陷落, 陷身囹圄, 失陷, 攻陷, 淪陷, 天塌地陷, 衝鋒陷陣"
1338,1101,陷,ham6,「陷haam6」的異讀字
1339,1100,柴,caai4,"柴扉, 柴薪, 火柴, 瘦骨如柴"
1339,1100,柴,zaai6,編木維護四周；籬障
1340,1099,呈,cing4,"呈現, 呈報, 呈送, 呈請, 呈獻, 呈交, 呈上, 呈露, 辭呈"
1341,1096,徒,tou4,"徒刑, 徒增, 徒步, 徒然, 徒手, 徒勞無功, 徒具, 徒弟, 徒勞, 徒留, 徒眾, 徒子徒孫, 徒託空言, 徒費"
1342,1094,顏,ngaan4,"顏色, 顏面, 顏料, 容顏, 和顏悅色"
1343,1087,淚,leoi6,"淚水, 淚痕, 淚流滿面, 淚眼, 淚滴, 淚珠, 淚雨, 淚汪汪, 淚如雨下, 淚人兒, 淚人, 淚管"
1344,1087,稍,saau2,"稍後, 稍微, 稍為, 稍候"
1345,1080,忘,mong4,"忘記, 忘懷, 遺忘, 坐忘"
1345,1080,忘,mong6,「忘mong4」的異讀字
1346,1079,扎,zaap3,「扎zaat3」的異讀字
1346,1079,扎,zaat3,"扎手, 扎針, 掙扎"
1347,1079,泵,bam1,水泵
1348,1079,藍,laam4,"藍色, 藍圖, 藍天, 藍本, 湛藍, 青出於藍"
1349,1078,拖,to1,"拖延, 拖累, 拖垮, 拖欠, 拖曳, 拖泥帶水"
1350,1076,洞,dung6,"洞穴, 漏洞, 洞若觀火, 洞窟, 洞簫, 洞穿, 洞察, 洞悉, 洞房, 山洞, 石洞, 空洞, 黑洞, 仙洞, 別有洞天"
1350,1076,洞,tung4,澒洞
1351,1074,弄,lung6,"弄瓦, 弄臣, 弄璋, 弄權, 弄口鳴舌, 弄巧成拙, 弄假成真, 弄虛作假, 玩弄, 戲弄"
1351,1074,弄,nung6,「弄lung6」的異讀字
1352,1074,授,sau6,"授權, 授課"
1353,1073,鏡,geng3,"鏡子, 鏡面, 鏡台, 鏡屏, 眼鏡, 借鏡, 破鏡重圓"
1354,1067,埔,bou3,"埔里, 埔心, 埔鹽"
1355,1066,壯,zong1,姓氏
1355,1066,壯,zong3,"壯觀, 壯大, 壯年, 壯圍, 壯麗, 壯碩, 壯士, 壯烈, 壯舉, 壯盛, 壯丁, 壯膽, 壯實, 壯健, 壯志凌雲"
1355,1066,壯,zong6,壯族
1356,1066,辛,san1,"辛苦, 辛勞, 辛勤, 辛亥, 辛酸, 辛辛那提, 辛亥革命, 辛辣, 辛丑十「天干」之一"
1357,1064,鋒,fung1,"鋒面, 鋒利, 鋒芒, 鋒芒畢露, 談鋒, 鋒芒逼人"
1358,1060,虛,heoi1,"虛弱, 虛偽, 虛實, 虛心, 心虛, 空虛, 虛位以待"
1359,1060,貧,pan4,"貧窮, 貧困, 貧苦, 貧瘠, 貧賤"
1360,1054,佛,bat6,佛肸(春秋時人)同「弼」字
1360,1054,佛,fat1,仿佛
1360,1054,佛,fat6,"佛教, 活佛, 佛口蛇心, 佛法, 佛牙, 佛手, 佛性, 佛陀, 佛門, 佛堂, 佛龕, 佛頭著糞, 立地成佛"
1361,1052,彎,waan1,"彎曲, 轉彎, 彎路, 彎弓"
1362,1051,摩,mo1,"摩擦, 摩拳擦掌, 摩肩接踵"
1362,1051,摩,mo4,「摩mo1」的異讀字
1363,1051,泰,taai3,"泰然, 泰山壓頂, 康泰, 安泰, 否極泰來"
1364,1050,匯,wui6,"匯合, 外匯, 匯報, 匯票, 匯款, 匯聚, 匯流"
1365,1049,幼,jau3,"幼兒, 幼童, 幼稚, 幼苗, 幼子"
1366,1045,尊,zeon1,同「樽」字
1366,1045,尊,zyun1,"尊長, 尊重, 尊容, 尊崇, 尊範, 尊嚴, 尊貴, 尊卑, 自尊"
1367,1045,廷,ting4,"廷杖, 廷尉, 朝廷, 宮廷"
1368,1038,窗,coeng1,"窗戶, 窗簾, 窗子, 窗明几淨, 東窗事發, 門窗, 十年寒窗"
1369,1038,綱,gong1,"綱紀, 綱要, 提綱挈領, 綱目, 三綱五常網的大繩。《說文》：「綱，網紘也。」"
1370,1035,氏,si6,"氏族, 姓氏, 攝氏溫度"
1370,1035,氏,zi1,"閼氏, 月氏"
1371,1035,隸,dai6,"隸書, 奴隸, 隸屬, 隸人, 隸定, 隸變, 楷隸, 漢隸"
1371,1035,隸,lai6,「隸dai6」的異讀字
1371,1035,隸,doi6,「隸dai6」的異讀字
1372,1034,疑,ji4,"疑問, 懷疑, 半信半疑, 疑心病, 疑慮, 疑惑, 疑竇, 疑難, 嫌疑犯, 猜疑, 疑神疑鬼, 滿布疑雲"
1373,1028,宮,gung1,"宮廷, 宮殿, 宮女, 宮燈, 宮闈, 宮闕, 宮庭, 宮扇, 宮門, 迷宮, 冷宮"
1374,1027,姐,ze2,"姐姐, 姐妹, 姐夫, 姐弟"
1375,1027,震,zan3,"震盪, 震撼, 震驚, 震動, 震央, 震怒, 震旦, 震源, 震波, 震天, 震幅, 震懾, 震裂, 震天價響, 震耳欲聾, 震震, 震撼力, 震耳, 震顫, 震蕩, 震撼作用, 震駭, 震垮"
1376,1026,瑞,seoi6,"瑞雲, 瑞氣, 瑞兆, 人瑞, 祥瑞"
1377,1025,怪,gwaai3,"怪異, 怪事, 怪誕, 怪病, 怪物, 怪獸"
1378,1023,尤,jau4,"效尤, 怨天尤人, 悔尤, 尤甚, 尤須, 尤其甚者, 尤其, 尤物, 尤佳姓氏"
1379,1022,夾,gaap3,"夾雜, 夾擊, 夾帶私逃, 文件夾, 夾攻, 夾注, 夾棍"
1379,1022,夾,gap3,「夾gaap3」的異讀字
1379,1022,夾,gep6,「夾gaap3」的異讀字
1379,1022,夾,gip6,「夾gaap3」的異讀字
1380,1022,循,ceon4,"循環, 循序漸進, 循規蹈矩, 循循善誘, 循例"
1381,1022,琴,kam4,"琴弦, 鋼琴, 琴瑟和鳴, 琴藝, 琴鍵, 琴音, 琴技, 劍膽琴心"
1382,1021,描,miu4,"描述, 描寫, 描繪, 描出"
1383,1020,膜,mok6,"耳膜, 肋膜, 橫膈膜"
1383,1020,膜,mou4,"膜拜, 奔走膜唄"
1384,1019,違,wai4,"違反, 違規, 違法, 違背"
1385,1018,珠,zyu1,"珠寶, 珠算, 珍珠, 珠簾, 珠光寶氣, 珠淚, 珠胎暗結, 妙語如珠"
1386,1018,緣,jyun4,"緣故, 緣由, 緣份, 緣木求魚, 緣起, 緣起緣滅, 緣因, 緣分"
1386,1018,緣,jyun6,衣服的邊飾
1387,1018,腰,jiu1,"腰部, 腰帶, 腰子, 腰圍"
1388,1015,枝,kei4,枝指
1388,1015,枝,zi1,"枝葉, 荔枝, 花枝招展, 枝幹, 枝椏, 樹枝, 折枝, 接枝, 比翼連枝, 同氣連枝, 金枝玉葉, 節外生枝, 細枝末節, 枝葉扶疏"
1389,1015,森,sam1,"森林, 森嚴, 森林區"
1390,1015,窮,kung4,"窮人, 窮困, 窮苦, 窮追不捨, 窮途末路, 窮鄉僻壤, 窮極無聊, 窮寇莫追"
1391,1015,竹,zuk1,"竹子, 竹林, 竹筍, 竹筏, 絲竹, 竹簍, 竹簾, 竹槓, 炮竹, 罄竹難書"
1392,1013,溝,gau1,「溝kau1」的異讀字
1392,1013,溝,kau1,"溝洫, 溝通, 溝渠, 溝壑, 陰溝"
1393,1012,催,ceoi1,"催促, 催眠, 催淚彈, 催逼, 催化劑"
1394,1011,憶,jik1,"回憶, 記憶, 追憶, 憶舊, 憶測"
1395,1011,繩,sing4,"繩索, 準繩, 繩之以法, 繩結, 繩墨, 繩鋸木斷, 月書赤繩"
1396,1008,邦,bong1,"邦交, 邦國, 舊邦, 異邦"
1397,1006,剩,sing6,"剩下, 剩餘, 剩水殘山, 剩魄殘魂, 過剩"
1397,1006,剩,zing6,「剩sing6」的異讀字
1398,1005,欄,laan4,"欄干, 勾欄, 木欄, 花欄, 牛欄"
1399,1005,漿,zoeng1,"漿糊, 豆漿, 玉液瓊漿, 漿汁, 血漿, 灌漿, 泥漿摔角"
1400,1001,擁,ung2,粵語用字
1400,1001,擁,jung2,"擁抱, 擁戴, 擁擠, 擁護, 擁遏不通, 擁經問疾, 蜂擁"
1401,999,牙,ngaa4,"牙齒, 牙科, 牙刷, 牙牙學語"
1402,999,貯,cyu2,「貯cyu5」的異讀字
1402,999,貯,cyu5,"貯備, 貯藏"
1402,999,貯,zyu2,「貯cyu5」的異讀字
1403,998,禮,lai5,"禮貌, 典禮, 分庭抗禮, 禮讓, 禮拜, 禮儀, 禮遇, 禮數, 禮尚往來, 禮賢下士, 聘禮, 禮義廉恥"
1404,997,濾,leoi6,"濾紙, 過濾, 濾水器, 濾水池, 濾液"
1405,997,鈉,naap6,一種金屬元素，符號Na
1405,997,鈉,naat3,粵語用字
1406,991,紋,man4,"紋身, 掌紋, 紋風不動, 紋路, 紋眉, 紋理, 條紋, 花紋"
1407,989,咱,zaa1,"咱們, 咱家"
1408,986,拍,paak3,"拍賣, 拍攝, 拍照, 拍片, 拍手, 拍打, 拍掌"
1409,986,罷,baa6,"罷工, 作罷, 欲罷不能, 罷休, 罷手, 罷免, 罷官, 罷戰, 罷職, 罷黜"
1409,986,罷,pei4,同「疲」字
1410,980,幸,hang6,"幸福, 幸運, 幸虧, 幸災樂禍, 幸免, 萬幸"
1411,976,喊,haam3,"喊出, 喊話, 喊價, 喊叫, 喊冤, 喊窮, 喊醒, 喊住"
1412,976,袖,zau6,"袖口, 袖珍, 袖子, 袖扣, 袖手"
1413,975,埃,aai1,「埃oi1」的異讀字
1413,975,埃,ngaai1,「埃oi1」的異讀字
1413,975,埃,oi1,"埃及, 塵埃"
1413,975,埃,ngoi1,「埃oi1」的異讀字
1414,973,勤,kan4,"勤奮, 勤勞, 勤儉, 勤快, 勤樸, 勤懇, 外勤, 執勤"
1415,972,焦,ziu1,"焦點, 心焦, 焦頭爛額, 焦慮, 焦急, 焦黑, 焦躁, 焦距, 焦炭, 焦黃, 焦油, 焦耳, 焦灼, 焦土政策"
1416,972,罰,fat6,"罰款, 賞罰, 責罰, 處罰"
1417,971,伍,ng5,"隊伍, 落伍, 入伍, 退伍"
1418,971,潛,cim4,"潛水, 潛能, 潛移默化, 潛力, 潛入, 潛在, 潛逃, 潛藏, 潛伏, 潛心, 潛艇, 潛伏期, 潛修, 潛行, 潛匿, 潛近"
1419,970,墨,maak6,「墨mak6」的異讀字
1419,970,墨,mak6,"墨盒, 墨汁, 墨筆, 墨跡, 騷人墨客"
1420,966,縫,fung4,"縫合, 縫紉, 縫補, 裁縫"
1420,966,縫,fung6,"縫隙, 門縫, 裂縫, 見縫插針, 天衣無縫"
1421,961,姓,seng3,「姓sing3」的異讀字
